"Species","Type"
"SOLIMUL","7"
"THALVEN","7"
"SONCARV","7"
"PIPTMIR","6"
"RHIZMAG","9"
"STELLOG","7"
"CANAMOD","7"
"CIRSEDU","7"
"ARNICHA","7"
"HALECYM","7"
"CALASTR","6"
"CARESCI","6"
"STELLON","7"
"BOTRLUN","5"
"CAREDEW","6"
"CAREPEC","6"
"CLADONA","11"
"GENTPRS","7"
"PACKSUB1","7"
"PELTDID","11"
"CLADFUR","11"
"CLADCOC","11"
"PTILCAL","10"
"CALLRIC","9"
"RHODMAC","3"
"LOPHSUD","10"
"RHYTSQU","9"
"PELTSCA","11"
"HOMALOH","9"
"STERGLA","11"
"CLADCAN","11"
"DAUCCAR","7"
"MUHLRIC","6"
"PELTPRA","11"
"SCAPSUB","10"
"CAREPAU","6"
"SPHAFUS","9"
"SPHAANU","9"
"CARELOL","6"
"KALMMIC4","12"
"OXYCOCC","12"
"SPIRSPL","4"
"CAREMAG1","6"
"RHYNALB","6"
"HUPECON","5"
"ERIOAND","7"
"ERIOBRA","6"
"CARETRS","6"
"ANDRPOL","12"
"ERIOCHA","6"
"KALMMIC","12"
"SALIATH","4"
"CATONIG","9"
"ANEMPAR","7"
"ERIOANG","6"
"MAIATRI","7"
"CAREVAG","6"
"JUNIHOR","3"
"ARUNDIO1","7"
"EURHPUL2","9"
"LOPHOBT","10"
"ICMAERI","11"
"CLADSUU","11"
"PELTHOR","11"
"STEPTEN","7"
"ANDRSEP","7"
"ERIGSTR","7"
"ERYSCHE","7"
"ERIGLIN","7"
"STERPAS","11"
"TRISETU","6"
"CORALLO","8"
"POHLCRU","9"
"HYPNREV","9"
"DISTCAP","9"
"LOBAPUL","11"
"AMBLSER","9"
"SALIMAC","4"
"CALASTR2","6"
"PACKIND","7"
"CAREAUR","6"
"PACKPAP","7"
"GALIKAM","7"
"CLADAMA","11"
"CICUDOU","7"
"AULACOM","9"
"GLYCSTR","6"
"WARNEXA","9"
"SYNTNOR","9"
"FESTRUB","6"
"SELAWAL","5"
"POTEOVI","7"
"SILEDOU","7"
"MICROCC","7"
"CASTRAU","7"
"AGOSAUR","7"
"PSEUINC","9"
"ARTENOR1","7"
"JUNCMER","6"
"CASTSEP","7"
"ANEMDRU","7"
"HIERTRI","7"
"LINAVUL","7"
"SYMPSPA1","7"
"ALNUVIR5","4"
"RHIZOMN","9"
"CAREPRE","6"
"PELLIA","10"
"POTEGLU","7"
"CLADCEN","11"
"VEROBEC","7"
"AGROSTI","6"
"CALLIEG","9"
"VIOLPAL","7"
"CAREBRU","6"
"BETUPUM1","4"
"NEOTCON","7"
"CERAGLO","7"
"SALISER","4"
"POLYGON","7"
"CAREVIR","6"
"STELHUM","7"
"CIRSIUM","7"
"CLADMER","11"
"CLADSYM","11"
"ERIGACR","7"
"CLADBOE","11"
"COELACU","11"
"PACKCAN","7"
"ASPIDEN","5"
"POLYKRU","5"
"SPLASPH","9"
"LATHYRU","7"
"DREPADU","9"
"PICEAX","1"
"CAREDIA","6"
"HIPPMON","7"
"RANUGME","7"
"SIUMSUA","7"
"CALTPAL","7"
"SALICOM","4"
"CAREPRT","6"
"ANTEROS","7"
"SENEVUL","7"
"CAREPHA","6"
"CORYCOR4","4"
"LEYMCIN","6"
"BETUOCC","2"
"CARESIC","6"
"HIPPVUL","7"
"GLYCGRA","6"
"ALOPAEQ","6"
"SCHOTAB","6"
"HYPNUM","9"
"VALESCO","7"
"TRISCER","6"
"DESCHAM","6"
"TRICHOP","6"
"PLEUROP","6"
"ARCTOST","0"
"LINNAEA","12"
"FUSCIDE","11"
"FRAGARI","7"
"CENTSTO1","7"
"SYMPERI","7"
"RHYTIDA","9"
"CAREMER","6"
"SCIRMIC","6"
"GALIAPA","7"
"CEANSAN","4"
"RUBULAS","12"
"ACHLTRI","7"
"ACERCIR","2"
"RUBUS","0"
"CLAYSIB","7"
"BERBNER","3"
"TRIEBOR1","7"
"ASARCAU","7"
"BROMSIT","6"
"HYDRFEN","7"
"TELLGRA","7"
"PSEUMEN2","1"
"ERYTLEW","7"
"HEUCGLA","7"
"CLADPOR","11"
"CARDOLI","7"
"CRATDOU","4"
"DICEFOR","7"
"SALILAS","2"
"SAMBNIG","4"
"CAREMAO","6"
"LOBARIA","11"
"SENEINT","7"
"PHLODIF","7"
"CAREPEL","6"
"PEDIGRO","7"
"ELEOPAL","6"
"SPHASQU","9"
"HYPOPIT","8"
"CAREMED","6"
"NOTHNEM","7"
"SILEPAR","7"
"RHYTIDI","9"
"BISTBIS","7"
"ABIES","1"
"MICRFER","7"
"RHYTIDO","9"
"SEDUDIV","7"
"MYOSAPE","7"
"POTEFLA","7"
"POTEDRU","7"
"EREMCAP1","7"
"CAREOBN","6"
"MYCEMUR","7"
"MELISUB","6"
"STACCHA1","7"
"TRAUCAR","7"
"PRENALA","7"
"CHRYTET","7"
"TRIEEUR","7"
"PTILCIL","10"
"ARTENOR","7"
"CASSIOP","12"
"CALTLEP1","7"
"TIARTRI1","7"
"MYOSASI","7"
"ASTEALP","7"
"CAREPOD","6"
"MEESTRI","9"
"TRIGMAR","7"
"CARELIM","6"
"SYMPBOR","7"
"EPILPAL","7"
"CARELAS","6"
"MEESULI","9"
"UTRIMAC","7"
"LEMNTRI","7"
"RICCNAT","10"
"NUPHPOL","7"
"CERADEM","7"
"MYRISPI","7"
"CINCSTY","9"
"CARESIM","6"
"MUHLGLO","6"
"SPIRROM","7"
"PALUSQU","9"
"CAREATR","6"
"CAREATH","6"
"PERSAMP","7"
"POTEANS","7"
"CALYSPH","10"
"WARNFLU","9"
"PALUFAL","9"
"ERYTGUT","7"
"RICCLAT","10"
"TRIGPAL","7"
"JUNCBAL","6"
"PERSHYD","7"
"BETUPUM","4"
"RUMEX","7"
"TORTTOR","9"
"LEPTOBR","9"
"MOEHRIN","7"
"SALIBRA","4"
"SEDUM","7"
"CARESAR","6"
"ARABNUT","7"
"AGROPYR","6"
"BRASSIC","7"
"ERIGLON","7"
"RUMEACO","7"
"ELEOCHA","6"
"CARDPEN","7"
"SCIRPUS","6"
"ALOPPRA","6"
"VEROSCU","7"
"MONTCHA","7"
"POLYFOR","9"
"DESCSOP","7"
"CARELAH","6"
"ASTERAC","7"
"HYPNREC","9"
"LEPTPYI","9"
"LOPHMIN","10"
"GALEROT","7"
"PLATJUN","9"
"RUMEMAR","7"
"LEPTHUM","9"
"MYOSMIN","7"
"DANTSPI","6"
"HENNHEI","9"
"STELCAL","7"
"SALIPSD","4"
"ERIGHUM","7"
"KOBRMYO","6"
"OSMODEP","7"
"ELYMREP","6"
"BROMINE","6"
"RORIPAL","7"
"MNIUBLY","9"
"CALLPAL","7"
"ELEOQUI","6"
"CARECAN","6"
"STELLOG7","7"
"ANTEMON","7"
"THAMVER","11"
"SILEACA","7"
"FESTBRA","6"
"ANTHMON","6"
"RACOERI","9"
"POTENAN","7"
"FLAVNIV","11"
"CLADSTE","11"
"SALISTO","12"
"CAREMIC","6"
"DACTARC","11"
"LUZUSPI","6"
"DRYAINT","12"
"LLOYSER","7"
"RHYTRUG","9"
"CAREALB","6"
"PSEUPUB","11"
"ALECOCH","11"
"RACOLAN","9"
"RHODINT","7"
"PEDILAN","7"
"GENTGLA","7"
"MICRNEL4","7"
"CHAMLAT","7"
"POHLWAH","9"
"TRIFHYB","7"
"STERCON","11"
"POLYSPH","9"
"BRACGRO","9"
"STRELAN1","7"
"CHRYSOT","0"
"ARTEDRA","7"
"JUNCACE","6"
"ASTRALP","7"
"CAREEBU","6"
